generic_bnf_equivalent_name,bnf_chapter,items,total_quantity,nic
Generic Ensure Plus milkshake style liquid,Nutrition and Blood,116070,691069800.0,5252831.32
Generic Fortisip Bottle,Nutrition and Blood,96499,668190800.0,4966495.35
Generic Fortisip Compact liquid,Nutrition and Blood,122868,606842875.0,7767442.88
Paracetamol 500mg tablets,Central Nervous System,4521735,605019967.0,11968606.9
Generic Fortisip Compact Protein liquid,Nutrition and Blood,131783,590547125.0,12634014.5
Generic Ensure Compact liquid,Nutrition and Blood,100495,520295625.0,7034087.51
Sodium algin 500mg/Potassium bicarb 100mg/5ml susp SF,Gastro-Intestinal System,843227,492622066.0,7949804.6
Lactulose 3.1-3.7g/5ml oral solution,Gastro-Intestinal System,828189,475799980.0,6134000.45
Atorvastatin 20mg tablets,Cardiovascular System,13460092,455381613.0,10529680.61
Generic Dermol 500 lotion,Skin,791538,450819000.0,5878679.76
